webTitle,webPublicationDate,webUrl,sectionName,event_type,region
Energy bills: UK government urged to launch ‘social tariff’ to help vulnerable households,2026-03-18 06:00:25+00:00,https://www.theguardian.com/money/2026/mar/18/energy-bills-uk-government-urged-to-launch-social-tariff-to-help-vulnerable-households,Money,none,UK
"Datacentres should be forced to invest in wind and solar energy, all states agree – except Queensland",2026-05-12 05:16:37+00:00,https://www.theguardian.com/environment/2026/may/12/datacentres-australia-wind-solar-energy-investment,Environment,none,other
"Knit pants, waterproof boots and more: 20 things to wear to stay warm this winter, tested",2026-01-27 16:17:38+00:00,https://www.theguardian.com/thefilter-us/2026/jan/27/extreme-cold-warm-winter-clothing,The Filter US,none,UK
Energy bills to rise more than expected for millions of British households,2025-08-27 12:07:47+00:00,https://www.theguardian.com/money/2025/aug/27/higher-energy-bills-price-cap-rises,Money,none,UK
EU plans to cut electricity taxes to shield households from Iran war energy crisis,2026-04-22 12:48:36+00:00,https://www.theguardian.com/environment/2026/apr/22/eu-plans-cut-electricity-taxes-shield-households-iran-war-energy-crisis,Environment,none,Europe
"Solar grazing: ‘triple-win’ for sheep farmers, renewables and society or just a PR exercise for energy companies?",2026-01-14 10:52:22+00:00,https://www.theguardian.com/environment/2026/jan/14/solar-grazing-triple-win-sheep-farmers-renewables-energy-companies,Environment,none,UK
Energy bills: millions of Britons ‘at risk of overpaying if they fail to read meter’,2025-09-23 13:27:16+00:00,https://www.theguardian.com/money/2025/sep/23/energy-bills-millions-overpaying-meter-readings-uswitch,Money,none,UK
Lawyers to investigate claims of GB power grid cover-up over blackout risk,2026-07-13 20:00:49+00:00,https://www.theguardian.com/business/2026/jul/13/lawyers-to-investigate-claims-of-gb-power-grid-cover-up-over-blackout-risk,Business,none,UK
Electricity generators threatened with higher windfall taxes in bid to ensure stable prices,2026-04-20 23:01:08+00:00,https://www.theguardian.com/environment/2026/apr/21/uk-shifts-older-wind-and-solar-farms-to-fixed-price-deals-to-reduce-price-shocks,Business,none,UK
What is happening with Australia’s emissions? Electricity is improving. Transport is not,2025-08-25 07:27:21+00:00,https://www.theguardian.com/australia-news/2025/aug/25/what-is-happening-with-australias-emissions-electricity-is-improving-transport-is-not,Environment,none,other
‘We were being watched by the KGB’: how Scorpions made Wind of Change,2025-09-15 13:45:04+00:00,https://www.theguardian.com/culture/2025/sep/15/kgb-scorpions-wind-of-change-whistling,Culture,none,other
Britain’s biggest community solar farm forced to shut over grid overload fears,2026-07-12 14:00:20+00:00,https://www.theguardian.com/environment/2026/jul/12/solar-farm-forced-to-shut-derril-water-biggest-grid-overload-fears,Environment,none,UK
Labour still faces risks on energy despite ‘record’ wind power auction | Nils Pratley,2026-01-14 16:44:33+00:00,https://www.theguardian.com/business/2026/jan/14/labour-wind-power-risks-clean-power-great-britain,Business,none,UK
Climate activists gather in New York for ‘Sun Day’ solar energy and anti-billionaire rallies,2025-09-22 11:34:44+00:00,https://www.theguardian.com/us-news/2025/sep/22/sun-day-climate-new-york,US news,none,other
"National insurance hike and energy bills behind food price rise, say UK retailers",2026-01-27 00:01:00+00:00,https://www.theguardian.com/business/2026/jan/27/national-insurance-hike-and-energy-bills-behind-food-price-rise-say-uk-retailers,Business,none,UK
"Changes in solar energy fuelled high speed evolutionary changes, study suggests",2025-11-26 06:00:43+00:00,https://www.theguardian.com/science/2025/nov/26/changes-in-solar-energy-fuelled-high-speed-evolutionary-changes-study-suggests,Science,none,other
"Two dead at Melbourne beach as wild wind batters state, while parts of Sydney hit by record-breaking heat ",2025-10-22 06:50:51+00:00,https://www.theguardian.com/environment/2025/oct/22/sydney-weather-nsw-heat-bom-forecast-wind-warnings-australia,Environment,heatwave,other
