webTitle,webPublicationDate,webUrl,sectionName,event_type,region
Cyclone Narelle forecast tracking map: where is its path expected to cross WA coast and will it reach Perth?,2026-03-27 05:39:18+00:00,https://www.theguardian.com/australia-news/2026/mar/27/tropical-cyclone-narelle-perth-tracking-map-wa-path-tracker-forecast-category-update-western-australia,Australia news,storm,other
Australian Open insulates tennis from extreme heat but still faces million-dollar hit ,2026-01-27 01:08:03+00:00,https://www.theguardian.com/sport/2026/jan/27/australian-open-tennis-extreme-heat-melbourne,Sport,heatwave,other
"Raise £12bn in budget by extending income tax thresholds freeze, says thinktank",2025-10-25 11:00:33+00:00,https://www.theguardian.com/uk-news/2025/oct/25/raise-12bn-in-budget-by-extending-income-tax-thresholds-freeze-says-thinktank,UK news,none,UK
Storm Bram: ‘danger to life’ warnings issued as heavy rain and winds hit much of UK – as it happened,2025-12-09 14:27:54+00:00,https://www.theguardian.com/uk-news/live/2025/dec/09/storm-bram-danger-to-life-warnings-south-west-england-wales-scotland-northern-ireland-latest-news-updates,UK news,storm,UK
Amsterdam airport cancels at least 800 flights because of snow and wind,2026-01-07 16:03:50+00:00,https://www.theguardian.com/world/2026/jan/07/amsterdam-airport-cancels-flights-amid-icy-conditions,World news,cold,Netherlands
Dangerous temperatures forecast for parts of Europe as heatwave moves east,2026-06-29 15:49:19+00:00,https://www.theguardian.com/environment/2026/jun/29/dangerous-temperatures-forecast-central-eastern-europe-heatwave,Environment,heatwave,Europe
Powerful winter storm to bring heavy snow across much of US this weekend,2026-01-22 20:59:42+00:00,https://www.theguardian.com/us-news/2026/jan/22/us-winter-storm-snow,US news,storm,other
Hurricane Melissa hits Cuba after turning Jamaica into ‘disaster area’,2025-10-30 01:15:48+00:00,https://www.theguardian.com/world/2025/oct/29/hurricane-melissa-hits-cuba-after-turning-jamaica-into-disaster-area,World news,storm,other
Lotte Wubben-Moy finds ‘perfect storm’ to show she is more than England stand-in,2026-04-11 09:00:44+00:00,https://www.theguardian.com/football/2026/apr/11/lotte-wubben-moy-england-arsenal-tao-geoghegan-hart,Football,none,UK
Weather tracker: Flooding and landslides hit large parts of Asia,2026-07-20 09:46:23+00:00,https://www.theguardian.com/environment/2026/jul/20/weather-tracker-flooding-landslides-asia-vietnam-southern-china-south-korea,Environment,flood,other
"As it happened – deadly cyclone makes landfall in China after devastating Hong Kong, Taiwan and Philippines",2025-09-24 14:29:57+00:00,https://www.theguardian.com/world/live/2025/sep/24/typhoon-ragasa-live-china-hong-kong-taiwan-philippines-latest-storm-news-updates,World news,storm,other
Germany braces for more heavy snowfall as Storm Goretti hits northern Europe,2026-01-09 15:13:26+00:00,https://www.theguardian.com/world/2026/jan/09/storm-goretti-germany-heavy-snowfall-strong-winds-france-northern-europe,World news,storm,Europe
New year revellers told to wrap up warm with snow expected across UK ,2025-12-31 16:08:48+00:00,https://www.theguardian.com/uk-news/2025/dec/31/new-year-revellers-told-wrap-up-warm-snow-uk-weather,UK news,cold,UK
Israeli security minister joins Jewish extremists as they storm al-Aqsa mosque compound,2026-07-23 14:33:12+00:00,https://www.theguardian.com/world/2026/jul/23/israel-security-minister-itamar-ben-gvir-jewish-extremists-storm-al-aqsa-mosque-compound-jerusalem,World news,none,other
‘There is so much corruption’: hundreds of thousands protest in Manila over missing flood funds,2025-11-17 13:03:52+00:00,https://www.theguardian.com/world/2025/nov/17/manila-philippines-corruption-protest-flood-funds,World news,none,other
WA bushfire downgraded while Queensland and NT brace for monsoonal rain and flooding,2025-12-27 01:14:17+00:00,https://www.theguardian.com/australia-news/2025/dec/27/wa-bushfire-downgraded-while-queensland-and-nt-brace-for-monsoonal-rain-and-flooding,Australia news,flood,other
"WA’s ‘longest and most intense’ marine heatwave killed coral across 1,500km stretch",2025-08-11 14:01:06+00:00,https://www.theguardian.com/australia-news/2025/aug/12/was-longest-and-most-intense-marine-heatwave-killed-coral-across-1500km-stretch,Australia news,heatwave,other
Weather tracker: Atmospheric rivers to bring heavy rain and snow to Pacific north-west,2025-12-08 12:05:20+00:00,https://www.theguardian.com/environment/2025/dec/08/weather-tracker-atmospheric-rivers-heavy-rain-snow-to-pacific-north-west-us-canada,Environment,cold,other
Morning Mail: Bunnings accused of ‘greenwashing’ timber; extinction fears for K’gari dingoes; extreme heat warning,2026-01-26 19:46:05+00:00,https://www.theguardian.com/australia-news/2026/jan/27/morning-mail-tuesday-ntwnfb,Australia news,heatwave,other
Man swept away in Wellington flood waters as New Zealand capital hammered by record heavy rain,2026-04-21 03:35:51+00:00,https://www.theguardian.com/weather/2026/apr/21/wellington-floods-new-zealand-man-missing-record-rain,Weather,flood,other
"BBC World Service funding freeze risks ‘opening door to hostile states’, MPs say",2026-03-13 00:01:35+00:00,https://www.theguardian.com/media/2026/mar/13/bbc-world-service-funding-freeze-risks-opening-door-to-hostile-states-mps-say,Media,none,UK
Ex-Tropical Cyclone Narelle: ‘vulnerable’ Katherine aged care residents evacuated to open-sided basketball court,2026-03-24 14:00:40+00:00,https://www.theguardian.com/australia-news/2026/mar/25/ex-tropical-cyclone-narelle-katherine-evacuees-aged-care-homes-ntwnfb,Australia news,storm,other
Extreme heat lab: enduring the climate of the future,2026-02-19 19:00:11+00:00,https://www.theguardian.com/environment/ng-interactive/2026/feb/19/extreme-heat-lab-enduring-the-climate-of-the-future,Environment,none,other
Woman charged for starting GoFundMe posing as father of Texas flooding victim,2026-01-12 19:07:47+00:00,https://www.theguardian.com/us-news/2026/jan/12/gofundme-texas-flooding-impersonation,US news,none,other
"What links Carol Ferris and Hal Jordan, and Ygritte and Jon Snow? The Saturday quiz",2025-08-30 06:00:55+00:00,https://www.theguardian.com/lifeandstyle/2025/aug/30/what-links-carol-ferris-and-hal-jordan-and-ygritte-and-jon-snow-the-saturday-quiz,Life and style,none,other
Not cool: the air conditioning scams offering fake deals in the heatwave,2026-07-05 06:00:19+00:00,https://www.theguardian.com/money/2026/jul/05/air-conditioning-scams-fake-deals-heatwave-aldi,Money,heatwave,UK
Storm Bram batters Britain and Ireland with strong winds and heavy rain,2025-12-09 21:22:56+00:00,https://www.theguardian.com/uk-news/2025/dec/09/storm-bram-uk-weather-strong-winds-heavy-rain-hits-britain,UK news,storm,UK
Thousands of homes in Cornwall still without power or water days after Storm Goretti,2026-01-12 18:59:41+00:00,https://www.theguardian.com/uk-news/2026/jan/12/thousands-of-homes-cornwall-still-without-power-water-storm-goretti,UK news,storm,UK
"Freeze on student loan repayment threshold could leave graduates struggling, NUS warns",2025-11-27 15:00:11+00:00,https://www.theguardian.com/money/2025/nov/27/freeze-uk-student-loan-repayment-threshold-nus-warning,Money,none,UK
UK rejects visa for girl left destitute in Jamaica by Hurricane Melissa,2025-11-28 06:00:59+00:00,https://www.theguardian.com/politics/2025/nov/28/uk-home-office-rejects-visa-young-girl-destitute-jamaica-hurricane-melissa,Politics,none,UK
Trump says the big US winter storm is proof of climate hoax – here’s why he’s wrong,2026-01-23 17:17:13+00:00,https://www.theguardian.com/us-news/2026/jan/23/trump-winter-storm-climate-crisis,US news,storm,other
"Snoop Dogg, pigsty fights and the wrong kind of snow: Cillian Murphy and Barry Keoghan on making the Peaky Blinders movie",2026-03-13 05:00:39+00:00,https://www.theguardian.com/film/2026/mar/13/peaky-blinders-the-immortal-man-film-cillian-murphy-barry-keoghan-steven-knight,Film,none,UK
Twenty pregnant women evacuated from NT hospital as two states prepare for major flooding,2026-03-06 03:44:15+00:00,https://www.theguardian.com/australia-news/2026/mar/06/far-north-queensland-severe-weather-tropical-low-flash-flood-warnings,Australia news,flood,other
Storm Ingrid washes away part of Teignmouth’s historic pier,2026-01-24 21:13:23+00:00,https://www.theguardian.com/uk-news/2026/jan/24/storm-ingrid-washes-away-part-of-teignmouths-historic-pier,UK news,storm,UK
US families face ‘impossible choices’ as White House pushes to freeze childcare funding,2026-01-26 12:00:36+00:00,https://www.theguardian.com/us-news/2026/jan/26/trump-administration-childcare-funding-freeze,US news,none,other
"Winter delivers final blast of cold weather, bringing snow and strong winds to Australia’s south-east",2025-08-31 03:00:42+00:00,https://www.theguardian.com/australia-news/2025/aug/31/winter-delivers-final-blast-of-cold-weather-bringing-snow-and-strong-winds-to-australias-south-east,Australia news,cold,other
Country diary: Walking the storm path through an ever-changing pinewood | Amanda Thomson,2025-11-17 05:30:03+00:00,https://www.theguardian.com/environment/2025/nov/17/country-diary-walking-the-storm-path-through-an-ever-changing-pinewood,Environment,none,UK
"One in nine new homes in England built in areas of flood risk, study shows",2026-02-18 00:01:53+00:00,https://www.theguardian.com/environment/2026/feb/18/one-in-nine-new-homes-in-england-built-in-areas-of-flood-risk-study-shows,Environment,none,UK
"Floods could hit England while country is still in drought, forecasters say",2025-09-08 12:35:31+00:00,https://www.theguardian.com/environment/2025/sep/08/floods-could-hit-england-while-country-is-still-in-drought-forecasters-say,Environment,drought,UK
The Guardian view on heavy rain: England’s flood defences are not strong enough | Editorial,2026-02-09 18:50:23+00:00,https://www.theguardian.com/commentisfree/2026/feb/09/the-guardian-view-on-heavy-rain-englands-flood-defences-are-not-strong-enough,Opinion,none,UK
