webTitle,webPublicationDate,webUrl,sectionName,event_type,region
Cyclone Narelle forecast tracking map: where is its path expected to cross WA coast and will it reach Perth?,27/03/2026 08:39,https://www.theguardian.com/australia-news/2026/mar/27/tropical-cyclone-narelle-perth-tracking-map-wa-path-tracker-forecast-category-update-western-australia,Australia news,storm,other
Australian Open insulates tennis from extreme heat but still faces million-dollar hit ,27/01/2026 04:08,https://www.theguardian.com/sport/2026/jan/27/australian-open-tennis-extreme-heat-melbourne,Sport,heatwave,other
"Raise £12bn in budget by extending income tax thresholds freeze, says thinktank",25/10/2025 14:00,https://www.theguardian.com/uk-news/2025/oct/25/raise-12bn-in-budget-by-extending-income-tax-thresholds-freeze-says-thinktank,UK news,none,UK
Storm Bram: ‘danger to life’ warnings issued as heavy rain and winds hit much of UK – as it happened,09/12/2025 17:27,https://www.theguardian.com/uk-news/live/2025/dec/09/storm-bram-danger-to-life-warnings-south-west-england-wales-scotland-northern-ireland-latest-news-updates,UK news,storm,UK
Amsterdam airport cancels at least 800 flights because of snow and wind,07/01/2026 19:03,https://www.theguardian.com/world/2026/jan/07/amsterdam-airport-cancels-flights-amid-icy-conditions,World news,cold,Netherlands
Dangerous temperatures forecast for parts of Europe as heatwave moves east,29/06/2026 18:49,https://www.theguardian.com/environment/2026/jun/29/dangerous-temperatures-forecast-central-eastern-europe-heatwave,Environment,heatwave,Europe
Powerful winter storm to bring heavy snow across much of US this weekend,22/01/2026 23:59,https://www.theguardian.com/us-news/2026/jan/22/us-winter-storm-snow,US news,storm,other
Hurricane Melissa hits Cuba after turning Jamaica into ‘disaster area’,30/10/2025 04:15,https://www.theguardian.com/world/2025/oct/29/hurricane-melissa-hits-cuba-after-turning-jamaica-into-disaster-area,World news,storm,other
Lotte Wubben-Moy finds ‘perfect storm’ to show she is more than England stand-in,11/04/2026 12:00,https://www.theguardian.com/football/2026/apr/11/lotte-wubben-moy-england-arsenal-tao-geoghegan-hart,Football,none,UK
Weather tracker: Flooding and landslides hit large parts of Asia,20/07/2026 12:46,https://www.theguardian.com/environment/2026/jul/20/weather-tracker-flooding-landslides-asia-vietnam-southern-china-south-korea,Environment,flood,other
