webUrl,event_type,region,webTitle,webPublicationDate,sectionName
https://www.theguardian.com/money/2026/mar/18/energy-bills-uk-government-urged-to-launch-social-tariff-to-help-vulnerable-households,none,UK,Energy bills: UK government urged to launch ‘social tariff’ to help vulnerable households,2026-03-18T06:00:25Z,Money
https://www.theguardian.com/environment/2026/may/12/datacentres-australia-wind-solar-energy-investment,none,other,"Datacentres should be forced to invest in wind and solar energy, all states agree – except Queensland",2026-05-12T05:16:37Z,Environment
https://www.theguardian.com/thefilter-us/2026/jan/27/extreme-cold-warm-winter-clothing,none,UK,"Knit pants, waterproof boots and more: 20 things to wear to stay warm this winter, tested",2026-01-27T16:17:38Z,The Filter US
https://www.theguardian.com/money/2025/aug/27/higher-energy-bills-price-cap-rises,none,UK,Energy bills to rise more than expected for millions of British households,2025-08-27T12:07:47Z,Money
https://www.theguardian.com/environment/2026/apr/22/eu-plans-cut-electricity-taxes-shield-households-iran-war-energy-crisis,none,Europe,EU plans to cut electricity taxes to shield households from Iran war energy crisis,2026-04-22T12:48:36Z,Environment
https://www.theguardian.com/environment/2026/jan/14/solar-grazing-triple-win-sheep-farmers-renewables-energy-companies,none,UK,"Solar grazing: ‘triple-win’ for sheep farmers, renewables and society or just a PR exercise for energy companies?",2026-01-14T10:52:22Z,Environment
https://www.theguardian.com/money/2025/sep/23/energy-bills-millions-overpaying-meter-readings-uswitch,none,UK,Energy bills: millions of Britons ‘at risk of overpaying if they fail to read meter’,2025-09-23T13:27:16Z,Money
https://www.theguardian.com/business/2026/jul/13/lawyers-to-investigate-claims-of-gb-power-grid-cover-up-over-blackout-risk,none,UK,Lawyers to investigate claims of GB power grid cover-up over blackout risk,2026-07-13T20:00:49Z,Business
https://www.theguardian.com/environment/2026/apr/21/uk-shifts-older-wind-and-solar-farms-to-fixed-price-deals-to-reduce-price-shocks,none,UK,Electricity generators threatened with higher windfall taxes in bid to ensure stable prices,2026-04-20T23:01:08Z,Business
https://www.theguardian.com/australia-news/2025/aug/25/what-is-happening-with-australias-emissions-electricity-is-improving-transport-is-not,none,other,What is happening with Australia’s emissions? Electricity is improving. Transport is not,2025-08-25T07:27:21Z,Environment
https://www.theguardian.com/culture/2025/sep/15/kgb-scorpions-wind-of-change-whistling,none,other,‘We were being watched by the KGB’: how Scorpions made Wind of Change,2025-09-15T13:45:04Z,Culture
https://www.theguardian.com/environment/2026/jul/12/solar-farm-forced-to-shut-derril-water-biggest-grid-overload-fears,none,UK,Britain’s biggest community solar farm forced to shut over grid overload fears,2026-07-12T14:00:20Z,Environment
https://www.theguardian.com/business/2026/jan/14/labour-wind-power-risks-clean-power-great-britain,none,UK,Labour still faces risks on energy despite ‘record’ wind power auction | Nils Pratley,2026-01-14T16:44:33Z,Business
https://www.theguardian.com/us-news/2025/sep/22/sun-day-climate-new-york,none,other,Climate activists gather in New York for ‘Sun Day’ solar energy and anti-billionaire rallies,2025-09-22T11:34:44Z,US news
