webTitle,webPublicationDate,webUrl,sectionName,event_type,region
Climate activists gather in New York for ‘Sun Day’ solar energy and anti-billionaire rallies,2025-09-22 11:34:44+00:00,https://www.theguardian.com/us-news/2025/sep/22/sun-day-climate-new-york,US news,,
New Australian carbon credit scheme for solar and EVs accused of potentially misleading customers,2026-01-18 14:00:59+00:00,https://www.theguardian.com/australia-news/2026/jan/19/australian-carbon-credit-scheme-solar-electric-vehicles-accused-potentially-misleading-customers,Australia news,,
Japan confirms release of more oil reserves as concern over energy crisis grows,2026-04-10 05:50:57+00:00,https://www.theguardian.com/world/2026/apr/10/japan-sanae-takaichi-release-more-oil-reserves-iran-war,World news,,
The Boy Who Harnessed the Wind review – Malawian boy’s amazing famine-beating creation inspires a rousing musical,2026-02-20 15:04:32+00:00,https://www.theguardian.com/stage/2026/feb/20/the-boy-who-harnessed-the-wind-review-malawi-swan-theatre-stratford-upon-avon-william-kamkwamba,Stage,,
A solar-powered rubbish-eating boat? The vessel chomping plastic waste out of the sea,2026-06-12 11:00:44+00:00,https://www.theguardian.com/environment/2026/jun/12/solar-powered-rubbish-eating-boat-plastic-waste-sea,Environment,,
A moment that changed me: I saw my first total solar eclipse – and its beauty shook me to my core ,2026-05-13 05:45:20+00:00,https://www.theguardian.com/lifeandstyle/2026/may/13/a-moment-that-changed-me-i-saw-my-first-total-solar-eclipse-and-its-beauty-shook-me-to-my-core,Life and style,,
"Electricity generation costs would be a third lower with 82% renewable grid, CSIRO says",2025-12-16 14:00:06+00:00,https://www.theguardian.com/australia-news/2025/dec/16/electricity-generation-costs-third-lower-82-renewable-grid,Australia news,,
AI is destroying jobs – and the energy crisis could make that much worse | Larry Elliott,2026-04-16 08:00:52+00:00,https://www.theguardian.com/commentisfree/2026/apr/16/ai-destroying-jobs-energy-crisis-worse-doomsday-scenario,Opinion,,
‘A sacred kind of sound’: inside a solar-powered journey to preserve the music of church organs,2026-06-18 09:00:01+00:00,https://www.theguardian.com/music/2026/jun/18/michael-cloud-duguay-album-church-organs,Music,,
Democrats urge dropping plan to double gas exports as US energy prices soar,2026-02-26 18:10:23+00:00,https://www.theguardian.com/us-news/2026/feb/26/democrats-gas-exports-energy-prices,US news,,
"Morning Mail: Coalition’s secret net zero talking points, huge solar project proposed, Zelenskyy wary of new peace plan",2025-11-20 19:55:58+00:00,https://www.theguardian.com/australia-news/2025/nov/21/morning-mail-friday-ntwnfb,Australia news,,
" We lost £3,000 after collapse of Ikea’s solar panel installer ",2026-04-13 06:00:39+00:00,https://www.theguardian.com/money/2026/apr/13/ikea-solar-panels-soly-collapse-lost-3000,Money,,
"Scientists discover 27 potential new planets that orbit two stars in solar systems far, far away",2026-05-04 00:01:07+00:00,https://www.theguardian.com/science/2026/may/04/scientists-discover-27-potential-new-planets,Science,,
From energy prices to interest rates: the dates that could affect your finances in 2026,2026-01-01 06:00:32+00:00,https://www.theguardian.com/money/2026/jan/01/from-energy-prices-to-interest-rates-the-dates-that-could-affect-your-finances-in-2026,Money,,
Families hardest hit by energy crisis could be given funds dispensed by councils in England,2026-03-30 14:46:52+00:00,https://www.theguardian.com/business/2026/mar/30/families-hardest-hit-energy-crisis-given-funds-dispensed-local-councils,Business,,
Will Great Britain’s offshore wind subsidy auction mean lower energy bills?,2026-01-14 13:43:12+00:00,https://www.theguardian.com/business/2026/jan/14/will-great-britains-offshore-wind-subsidy-auction-mean-lower-energy-bills,Business,,
