webTitle,webPublicationDate,webUrl,sectionName
Australians to get at least three hours a day of free solar power – even if they don’t have solar panels,2025-11-03T11:30:33Z,https://www.theguardian.com/australia-news/2025/nov/03/australians-to-get-at-least-three-hours-a-day-of-free-solar-power-even-if-they-dont-have-solar-panels,Australia news
" Morning Mail: Free solar power plan, science prize for airborne disease researcher, mystery shipwreck discovery",2025-11-03T19:38:25Z,https://www.theguardian.com/australia-news/2025/nov/04/morning-mail-tuesday-ntwnfb,Australia news
Australians have been offered free solar power. How do I get mine and will it make my energy bill cheaper?,2025-11-04T08:05:53Z,https://www.theguardian.com/environment/2025/nov/04/australia-free-solar-power-scheme-how-when-houshold-bills,Environment
Reeves considers cut to green levies in effort to reduce cost of energy bills,2025-11-04T20:47:08Z,https://www.theguardian.com/uk-news/2025/nov/04/chancellor-considers-cut-green-levies-reduce-cost-of-energy-bills-rachel-reeves,UK news
"Rachel Reeves’s 5% VAT cut on electricity bills will backfire, experts say",2025-11-02T16:58:10Z,https://www.theguardian.com/uk-news/2025/nov/02/rachel-reevess-5-vat-cut-on-electricity-bills-will-backfire-experts-say,UK news
Hallé/Shields/Adams: John Adams festival review – dynamism that could generate electricity,2025-11-02T13:23:08Z,https://www.theguardian.com/music/2025/nov/02/john-adams-festival-review-halle-orchestra-bridgewater-hall,Music
Australian wholesale electricity prices are falling. So when will power bills stop rising?,2025-11-01T19:00:43Z,https://www.theguardian.com/environment/2025/nov/02/energy-prices-falling-electricity-cheaper-households,Environment
"Solar geoengineering in wrong hands could wreak climate havoc, scientists warn",2025-11-05T00:01:10Z,https://www.theguardian.com/environment/2025/nov/05/solar-geoengineering-in-wrong-hands-could-wreak-climate-havoc-scientists-warn,Environment
Britain’s red-tailed bumblebees may have an unlikely saviour in solar farms,2025-11-05T06:00:17Z,https://www.theguardian.com/environment/2025/nov/05/uk-red-tailed-bumblebees-farming-solar-farms,Environment
Solar booms in industrial US midwest as energy crisis persists,2026-05-02T16:00:29Z,https://www.theguardian.com/us-news/2026/may/02/solar-midwest-energy-crisis,US news
Why biomethane is not the solution to Britain’s gas supply issues | Letter,2026-04-26T15:46:47Z,https://www.theguardian.com/environment/2026/apr/26/why-biomethane-is-not-the-solution-to-britains-gas-supply-issues,Environment
Eurozone inflation soars to 3% as Iran war drives up energy prices,2026-04-30T12:30:05Z,https://www.theguardian.com/business/2026/apr/30/eurozone-inflation-increase-iran-war-drives-up-energy-prices,Business
"US activists plan May Day economic blackout: ‘No school, no work, no shopping’",2026-04-28T11:00:08Z,https://www.theguardian.com/us-news/2026/apr/28/may-day-economic-blackout,US news
"One year after Spain’s blackout, its shift to renewables and grid evolution power on",2026-04-28T13:47:48Z,https://www.theguardian.com/world/2026/apr/28/blackout-spain-renewable-energy-grid-solar-wind,World news
"Thousands in US join ‘no school, no work, no shopping’ May Day protest and economic blackout",2026-05-01T19:20:00Z,https://www.theguardian.com/us-news/2026/may/01/may-day-strong-economic-protests,US news
Trump administration blocks US wind energy projects in switch to oil and gas,2026-04-28T21:37:43Z,https://www.theguardian.com/us-news/2026/apr/28/trump-administration-wind-projects,US news
The great energy pivot: US oil and Chinese solar are the winners in Trump’s war on Iran,2026-04-26T11:00:12Z,https://www.theguardian.com/business/2026/apr/26/more-than-oil-prices-iran-war-threatens-to-reshape-global-energy-order,Business
"Australia’s energy grid must triple capacity by 2050 with major increase to wind and solar, Aemo says",2025-12-09T13:01:03Z,https://www.theguardian.com/australia-news/2025/dec/10/australia-must-increase-energy-grid-capacity-wind-solar-aemo,Australia news
Ofgem approves early investment in three UK electricity ‘superhighways’,2025-12-09T18:03:52Z,https://www.theguardian.com/business/2025/dec/09/ofgem-investment-uk-electricity-superhighways,Business
‘Zombie’ electricity projects in Britain face axe to ease quicker grid connections,2025-12-08T06:00:44Z,https://www.theguardian.com/business/2025/dec/08/zombie-electricity-projects-britain-face-axe-grid-connections-net-zero,Business
The Guardian view on solar geoengineering: Africa has a point about this risky technology | Editorial,2025-12-08T18:08:03Z,https://www.theguardian.com/commentisfree/2025/dec/08/the-guardian-view-on-solar-geoengineering-africa-has-a-point-about-this-risky-technology,Opinion
